Frame,Theta,GMNIA_ALR_H,GMNIA_ALR_V,GNA_ALR_H,GNA_ALR_V,GNA_Notional_Loads_ALR_H,GNA_Notional_Loads_ALR_V,GMNIA_del2_over_del1,GNA_del2_over_del1,GNA_Notional_Loads_del2_over_del1
W8X31_x_1X2.1335999999999995,0.0,5.481056059991817,0.0,5.42056501123553,0.0,5.42056501123553,0.0,1.0,1.0,1.0
W8X31_x_1X2.1335999999999995,1.0,5.435021859981512,0.0948686594522592,5.387130672834178,0.09403271567111304,5.385236489512127,0.09399965257824072,1.0030510400606556,1.003024073282572,1.0030230067277441
W8X31_x_1X2.1335999999999995,2.0,5.389727119583814,0.18821341836640781,5.354086249265108,0.186968811749523,5.350344375311047,0.1868381426317061,1.0060715129632838,1.0060311186086406,1.006026877864872
W8X31_x_1X2.1335999999999995,3.0,5.345127210968815,0.2801262471122312,5.321405166209065,0.2788830274263199,5.315859753815204,0.2785924046775489,1.0090636896058147,1.009023097069593,1.0090136083829124
W8X31_x_1X2.1335999999999995,4.0,5.30117969965728,0.37069459593668963,5.289061868822475,0.3698472346587409,5.281754872860926,0.3693362797262657,1.0120297643419514,1.0120019318669016,1.0119851497616694
W8X31_x_1X2.1335999999999995,5.0,5.257844167747278,0.4600017592637835,5.2570317355197265,0.4599306806539897,5.248003046193906,0.4591407726914828,1.014971861844717,1.0149695133794239,1.014943415248911
W8X31_x_1X2.1335999999999995,6.0,5.21508205128388,0.5481272108479476,5.225290997453355,0.5492002143279587,5.214578563364141,0.5480742921351779,1.0178920435628145,1.0179277040549626,1.017890284913195
W8X31_x_1X2.1335999999999995,7.0,5.172856490317935,0.6351469127774277,5.193816663105181,0.6377204983895589,5.181621493565456,0.6362231198524871,1.0207923138133632,1.0208783431535022,1.0208282872783971
W8X31_x_1X2.1335999999999995,8.0,5.134676537514932,0.7216317265091338,5.1630071977755,0.7256133411498238,5.149307514632701,0.7236879762457766,1.0236913709106126,1.023825239768878,1.0237605012061175
W8X31_x_1X2.1335999999999995,9.0,5.103945258079684,0.8083855131480217,5.132570769349217,0.8129193487294503,5.117238090701353,0.8104908910031323,1.026616228875135,1.026769549708936,1.0266874207309835
W8X31_x_1X2.1335999999999995,10.0,5.073412289938389,0.8945794709740555,5.102325293767215,0.8996776136424045,5.085391128843062,0.8966916634705093,1.0295390052728706,1.029712407117223,1.029610839576884
W8X31_x_1X2.1335999999999995,11.0,5.043057287712103,0.9802710345847028,5.072250716312128,0.9859456622607656,5.053745111000539,0.9823485369795181,1.032461482120067,1.0326556056802618,1.0325325429136591
W8X31_x_1X2.1335999999999995,12.0,5.012860358271391,1.065516361886122,5.0423274154954685,1.0717797782522058,5.022279033315718,1.0675183630690317,1.035385440700999,1.0356009399151531,1.035454311724139
W8X31_x_1X2.1335999999999995,13.0,4.98280200690072,1.150370486069995,5.01253615028143,1.1572351539669674,4.990972348301483,1.152256758010067,1.0383126659133717,1.0385502095494694,1.0383779271494402
W8X31_x_1X2.1335999999999995,14.0,4.952863085622425,1.234887461493953,4.982858009366927,1.2423660359266029,4.959912185102682,1.2366449993892081,1.0412449506324666,1.0415052239281777,1.041306105566114
W8X31_x_1X2.1335999999999995,15.0,4.9230247433819505,1.3191205043076288,4.953295241762902,1.3272314599032922,4.9293558824928265,1.3208169279195572,1.0441841001167294,1.044468002350279,1.044243465961613
W8X31_x_1X2.1335999999999995,16.0,4.890835401876372,1.4024244839938746,4.924326700671293,1.4120279593863878,4.898891866842358,1.4047346381483987,1.047107384981931,1.0474454526436674,1.0471886883383013
W8X31_x_1X2.1335999999999995,17.0,4.849711244191388,1.482705523564361,4.895408662713263,1.4966766264699554,4.868501235453677,1.4884502003975828,1.0499402974457046,1.0504348864784434,1.0501436069012675
W8X31_x_1X2.1335999999999995,18.0,4.808842636205873,1.5624876885878607,4.866523415147334,1.5812293097599974,4.8381652658626795,1.5720151885087001,1.052771007325144,1.0534382097137118,1.0531100798161015
W8X31_x_1X2.1335999999999995,19.0,4.768202523103929,1.6418237944621357,4.837653325319802,1.66573762343018,4.8078653694329425,1.6554808076748802,1.0556012407319542,1.056457362977472,1.0560899939545962
W8X31_x_1X2.1335999999999995,20.0,4.727764428844687,1.720765526722019,4.808780797552393,1.7502530734199597,4.777583045647631,1.7388980203506048,1.0584327226146655,1.059494326817158,1.0590852697930841
